,OTU54,OTU295,OTU865,OTU42,OTU31,OTU317,OTU24,OTU190,OTU1094,OTU18,OTU357,OTU57,OTU790,OTU979,OTU30,OTU138,OTU850,OTU72,OTU435,OTU211,OTU738,OTU142,OTU256,OTU458,OTU236,OTU315,OTU354,OTU736,OTU1073,OTU128,OTU1242,OTU53,OTU322,OTU785,OTU302,OTU25,OTU721,OTU129,OTU374,OTU914,OTU861,OTU516,OTU281,OTU1243,OTU508,OTU1002,OTU1026,OTU703,OTU527,OTU1111,OTU1075,OTU690,OTU807,OTU64,OTU1117,OTU744,OTU46,OTU32,OTU655,OTU537,OTU159,OTU729,OTU149,OTU384,OTU382,OTU875,OTU38,OTU1028,OTU777,OTU59,OTU695,OTU309,OTU766,OTU521,OTU398,OTU488,OTU373,OTU932,OTU245,OTU418,OTU1,OTU234,OTU745,OTU708,OTU871,OTU395,OTU730,OTU1088,OTU68,OTU85,OTU764,OTU381,OTU80,OTU76,OTU830,OTU1101,OTU33,OTU523,OTU1015,OTU48,OTU1225,OTU706,OTU825,OTU184,OTU50,OTU19,OTU1041,OTU827,OTU751,OTU420,OTU495,OTU525,OTU772,OTU771,OTU487,OTU1014,OTU204,OTU449,OTU446,OTU630,OTU1235,OTU718,OTU1069,OTU870,OTU288,OTU444,OTU84,OTU821,OTU396,OTU75,OTU329,OTU346,OTU978,OTU714,OTU590,OTU108,OTU868,OTU45,OTU325,OTU415,OTU1234,OTU765,OTU720,OTU945,OTU51,OTU1105,OTU734,OTU270,OTU136,OTU705,OTU36,OTU463,OTU750,OTU728,OTU379,OTU731,OTU833,OTU78,OTU228,OTU616,OTU404,OTU803,OTU801,OTU112,OTU246,OTU47,OTU401,OTU724,OTU878,OTU1184,OTU691,OTU1110,OTU836,OTU1078,OTU529,OTU343,OTU1113,OTU798,OTU1232,OTU260,OTU65,OTU41,OTU710,OTU1074,OTU146,OTU21,OTU333,OTU685,OTU4,OTU709,OTU352,OTU873,OTU908,OTU788,OTU297,OTU1077,OTU815,OTU532,OTU6,OTU450,OTU524,OTU125,OTU1021,OTU63,OTU1229,OTU390,OTU610,OTU1100,OTU67,OTU319,OTU274,OTU802,OTU752,OTU837,OTU225,OTU505,OTU436,OTU437,OTU864,OTU717,OTU862,OTU533,OTU389,OTU689,OTU789,OTU156,OTU832,OTU753,OTU209,OTU740,OTU711,OTU79,OTU1239,OTU202,OTU383,OTU743,OTU86,OTU704,OTU732,OTU1237,OTU956,OTU5,OTU1139,OTU692,OTU1135,OTU723,OTU151,OTU522,OTU768,OTU770,OTU1192,OTU338,OTU1207,OTU3,OTU867,OTU885,OTU819,OTU55,OTU122,OTU447,OTU716,OTU1233,OTU698,OTU34,OTU1082,OTU534,OTU769,OTU387,OTU89,OTU889,OTU767,OTU905,OTU263,OTU261,OTU1018,OTU426,OTU29,OTU786,OTU82,OTU386,OTU376,OTU943,OTU179,OTU7,OTU312,OTU481,OTU737,OTU20,OTU320,OTU774,OTU626,OTU434,OTU605,OTU456,OTU863,OTU893,OTU70,OTU1236,OTU1090,OTU952,OTU69,OTU37,OTU999,OTU872,OTU810,OTU496,OTU1104,OTU707,OTU1001,OTU1031,OTU795,OTU466,OTU866,OTU427,OTU279,OTU469,OTU792,OTU49,OTU712,OTU1093,OTU460,OTU272,OTU874,OTU375,OTU345,OTU869,OTU797,OTU509
NEC3-early pre-onset,0,0,0,0,1,15,0,0,4.5,0,0,14,0,5,2797,1.5,0.5,0,16.5,7,2,11.5,2.5,0.5,0,2.5,4,208,0.5,94.5,0,0.5,10.5,1,1.5,3,0,0,0,0,11075.5,5,2,0,0,0,213.5,0,3,0,0,0,0.5,0,0,2.5,200.5,0,0.5,0,1,131,3,4.5,0,0,1.5,19,12,2,0.5,2,0,2,0.5,1.5,0,0,0.5,5,0,274.5,1,0.5,0,3,203.5,7,0,27,0,3,0,0,4,1.5,2,0,0.5,13,0,0,2,1,0,0,26,0,0,0,4.5,14.5,0.5,0.5,37.5,2,0,5.5,10,1,11.5,0.5,616.5,27.5,21,2136,25.5,4.5,0,0,1,0,0.5,86,3.5,42.5,0,0,896.5,1,0.5,0,4.5,0,4.5,13.5,104.5,0,0,0,0,0,6,196.5,0,221.5,2.5,3.5,3,2.5,3.5,4,0,3,2.5,4,2085,8.5,3.5,3.5,0,0,4,1.5,0,0,26.5,1,1,0.5,0,0,0,0,6.5,2,2,0,0.5,0,2,0,2,0,1,0,0.5,1,0,4.5,4,62.5,11.5,1.5,1,0,0,0,0,12.5,12.5,18,387,1.5,11,29,3.5,9,0,0,51,14.5,0,0,218,4,3.5,1,1,0,0,0,0,3.5,0.5,499,282,0.5,7,0,0,0,0,0,0.5,0.5,0,0,0,1,0,5,0,0,8.5,168.5,0,0,113,1,3.5,0,1,209.5,0,0,7,1.5,1933.5,255,0,0,0,37.5,3,0,437,0.5,21.5,7.5,0,0,0.5,0,0,0,7.5,1,3,43,0,0,1,3,0,1,0,11.5,1.5,1.5,0,27.5,355,3,107,4,0,0,177,1,84,2.5,0,91,1.5,19.5,8,0,0,5,10.5,0,0.5,0,1.5,0.5,0,4.5
NEC3-late pre-onset,0.333333333,0,0,0,0,0.333333333,0,0,0,0,2,0.666666667,0,0,170.6666667,0,0,0,20,0.333333333,0.333333333,1.666666667,0,1.666666667,0,0,0.333333333,14,0,2,0,0,0.666666667,0.333333333,0,20,0,24.66666667,0,0,14589,5,0,899.6666667,0,0.333333333,7.333333333,0,0.333333333,0,0,0,0,0,0,0,7,0,0,0,0,5.333333333,0,1,0,0.333333333,0,1.666666667,0.666666667,0,0.333333333,0,0,0,2.666666667,4,0,0.333333333,0,8,0,22.66666667,0.666666667,0,0,0,17.33333333,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.333333333,0,1,0,0,0.666666667,0,0,38.66666667,0,0,6,12,0.333333333,0,0,41.66666667,1,1,2972.333333,0.666666667,0.333333333,0,0,1.666666667,0,0,4,0,3.666666667,0,0.333333333,58,0.333333333,0,0,0.666666667,0,243,1.666666667,5.333333333,0,0,0,0,0,0.333333333,15,0,12,1.333333333,0,0,0.333333333,0,1.333333333,0,0,0.666666667,0,138.6666667,7.333333333,0.333333333,0.666666667,0,0,5.333333333,0,0,0,0.666666667,1.666666667,0.333333333,0,0,0,0,0,6.666666667,0,0,0.666666667,1.666666667,0,2.666666667,0,0,0,0,0,0.666666667,0,0,0.333333333,0,3,0.333333333,0,0,0,0,0,0,1.666666667,0.666666667,2,27.33333333,3.333333333,1,35.66666667,6.666666667,8.666666667,0,0,502.3333333,3.666666667,0,0,2575.333333,0,0,0,0.333333333,0,0,0,0,0.333333333,0,27.66666667,10.33333333,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,1,0,0,0.666666667,5.666666667,0.333333333,0,11,1.666666667,2,0,0,11,0,0,0,0,102,13,0,0,0,0.666666667,0,0,5075,0,2,0.666666667,0,0,0,0,0,0,0,0.333333333,1.333333333,0,0,0,0.333333333,0,0,0,0,2,0,0.333333333,0,2,24.66666667,0,6.333333333,8.333333333,0,3.333333333,8,0,5.666666667,3,0,6.333333333,0.666666667,25.66666667,2,0,0,0,10.66666667,0,0,0,7.333333333,0.333333333,0,5.333333333
NEC3-early disease,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,13,0,0,0,2.5,0,0.5,0,0,0.5,0,0,0,2,0,0.5,0,0,0,0,0,567,0,37,0,0,12838,1,0,1349.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,39,0,0,0,0,0,0,0,0,6,0,0,1,4,0,0,0,2,0,0,449.5,0,0,0,0,0,0,0,1.5,0,0.5,0,0,3,0.5,0,0,0,0,362.5,0.5,0.5,0,0,0,0,0,0,0.5,0,1,0,0,0.5,0,0,0,0,0,0,0.5,8,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,0.5,0.5,5,0.5,2,0,0,753,0,0,0.5,3862,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0,13,0.5,0,0,0,0,0,0,7608,0,0,0,0,0,0,0,0,1.5,0,0.5,0,1.5,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,3.5,0,5,0,0,0.5,3.5,0,0,0.5,10.5,0,0,0,0,2.5,0,0,0,0,0.5,0,1
NEC3-middle disease,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24,0,0,0,5,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1109,0,0,0,0,25676,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,75,0,0,0,0,0,0,0,0,12,0,0,2,8,0,0,0,2,0,0,899,0,0,0,0,0,0,0,2,0,1,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,1,10,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,1,0,0,26,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,1,7,0,0,1,21,0,0,0,0,5,0,0,0,0,0,0,2
NEC3-late disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,23,0,0,1,0,0,836,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,252,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,2380,0,2,0,1791,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,22129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0
NEC4-early post partum,0,0,0,0,6,69,0,2,4,0,0,31,0,9,5508,1,0,0,0,12,2,32,3,0,2,7,0,293,5,117,0,0,55,2,2,2,1,0,0,3,24,0,3,37,0,32,315,0,2,55,1,0,0,0,0,0,256,0,1,10,6,197,8,10,1,5,7,57,24,2,6,2,0,19,2,0,0,55,0,0,0,562,6,0,1,8,379,30,0,45,0,6,2,0,3,2,1,0,0,33,0,0,2,3,0,3,56,1,3,0,0,22,0,2,0,3,0,0,0,0,5,79,1433,38,45,4,36,17,0,0,2,6,6,237,6,15,6,0,1755,0,6,0,12,0,12,32,205,0,0,0,1,0,8,401,1,315,2,4,7,6,0,6,1,1,7,3,3702,17,8,2,0,2,0,8,1,2,62,2,0,1,0,0,2,0,0,0,7,1,0,0,0,1,2,0,1,0,1,5,0,7,2,112,33,3,2,0,1,7,0,22,21,16,752,0,29,0,0,0,0,7,45,63,0,0,1148,0,0,0,5,6,0,0,0,20,0,802,551,8,5,0,1,2,3,1,0,3,0,0,0,8,0,3,0,0,35,279,2,0,200,3,2,0,10,338,1,0,116,1,3575,449,8,37,1,67,5,0,374,1,28,11,0,1,0,0,0,0,7,3,0,68,0,0,1,1,0,49,0,9,1,4,0,65,668,3,131,0,0,3,306,1,116,0,62,177,20,0,14,0,0,13,0,0,0,0,0,5,10,0
NEC4-early pre-onset,0,0,3,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,24,0,0,0.5,0,0,559,0,0,1,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0.5,0,0.5,27.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061,11.5,1,0,0,0.5,0.5,0,0,0,0,0,2,0,0.5,0,0,7.5,0,0,0,0,0,125,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1379.5,0.5,0,0.5,7765,0,0,0,0,198,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,2.5,0,0,0,0,2,4,0,0,0,0,0,0,13738.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,6,0,0.5,0,0,3,4,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEC4-late pre-onset,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,129,0,55,0,0,9,0,0,2583,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,634,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,509,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,441,1,4,0,18463,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,4995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NEC4-early disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,13,0,0,10,0,0,516,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,241,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,362,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2466,0,2,3,722,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
NEC4-middle disease,0,0,0,0,0,0,0,0,0,0,0,0,2.857143,0,1,0,0,0,0,0,35.14286,0,0,0,0,0,0,0.5714286,0,0,0.4285714,0,0,0,0,4.428571,0,50.71429,0,0,4.285714,0,0,1694.857,0,0,0,4.428571,0,0,0,0,0,0,0,0,0,0,0,6.285714,0,0,0,0,0,0,0,0,0,0,0,0,0.5714286,5.714286,0,0,0,0,0,0,0,0,0,0,0,0,0.4285714,0,0,0,2.142857,0,0,0,0,0,0,0,0,117,0,0,0,0,0,1.714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.4286,0,0,0,0,13.28571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1606.571,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.4285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85714,0,1734.571,0,7.714286,1.285714,4868.857,0,0,0,0,7.714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.42857,0,1.428571,0,0,0,0,0,0,0,17195.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.571429,0,0,0,0,0,0,0,0,0,0.5714286,0,0,6.285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.42857,0,0
NEC4-late disease,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,79,0,0,0,0,0,2579,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1186,0,12,0,7979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,12821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
