"","sample","time","OTU54","OTU295","OTU865","OTU42","OTU31","OTU317","OTU24","OTU190","OTU1094","OTU18","OTU357","OTU57","OTU790","OTU979","OTU30","OTU138","OTU850","OTU72","OTU435","OTU211","OTU738","OTU142","OTU256","OTU458","OTU236","OTU315","OTU354","OTU736","OTU1073","OTU128","OTU1242","OTU53","OTU322","OTU785","OTU302","OTU25","OTU721","OTU129","OTU374","OTU914","OTU861","OTU516","OTU281","OTU1243","OTU508","OTU1002","OTU1026","OTU703","OTU527","OTU1111","OTU1075","OTU690","OTU807","OTU64","OTU1117","OTU744","OTU46","OTU32","OTU655","OTU537","OTU159","OTU729","OTU149","OTU384","OTU382","OTU875","OTU38","OTU1028","OTU777","OTU59","OTU695","OTU309","OTU766","OTU521","OTU398","OTU488","OTU373","OTU932","OTU245","OTU418","OTU1","OTU234","OTU745","OTU708","OTU871","OTU395","OTU730","OTU1088","OTU68","OTU85","OTU764","OTU381","OTU80","OTU76","OTU830","OTU1101","OTU33","OTU523","OTU1015","OTU48","OTU1225","OTU706","OTU825","OTU184","OTU50","OTU19","OTU1041","OTU827","OTU751","OTU420","OTU495","OTU525","OTU772","OTU771","OTU487","OTU1014","OTU204","OTU449","OTU446","OTU630","OTU1235","OTU718","OTU1069","OTU870","OTU288","OTU444","OTU84","OTU821","OTU396","OTU75","OTU329","OTU346","OTU978","OTU714","OTU590","OTU108","OTU868","OTU45","OTU325","OTU415","OTU1234","OTU765","OTU720","OTU945","OTU51","OTU1105","OTU734","OTU270","OTU136","OTU705","OTU36","OTU463","OTU750","OTU728","OTU379","OTU731","OTU833","OTU78","OTU228","OTU616","OTU404","OTU803","OTU801","OTU112","OTU246","OTU47","OTU401","OTU724","OTU878","OTU1184","OTU691","OTU1110","OTU836","OTU1078","OTU529","OTU343","OTU1113","OTU798","OTU1232","OTU260","OTU65","OTU41","OTU710","OTU1074","OTU146","OTU21","OTU333","OTU685","OTU4","OTU709","OTU352","OTU873","OTU908","OTU788","OTU297","OTU1077","OTU815","OTU532","OTU6","OTU450","OTU524","OTU125","OTU1021","OTU63","OTU1229","OTU390","OTU610","OTU1100","OTU67","OTU319","OTU274","OTU802","OTU752","OTU837","OTU225","OTU505","OTU436","OTU437","OTU864","OTU717","OTU862","OTU533","OTU389","OTU689","OTU789","OTU156","OTU832","OTU753","OTU209","OTU740","OTU711","OTU79","OTU1239","OTU202","OTU383","OTU743","OTU86","OTU704","OTU732","OTU1237","OTU956","OTU5","OTU1139","OTU692","OTU1135","OTU723","OTU151","OTU522","OTU768","OTU770","OTU1192","OTU338","OTU1207","OTU3","OTU867","OTU885","OTU819","OTU55","OTU122","OTU447","OTU716","OTU1233","OTU698","OTU34","OTU1082","OTU534","OTU769","OTU387","OTU89","OTU889","OTU767","OTU905","OTU263","OTU261","OTU1018","OTU426","OTU29","OTU786","OTU82","OTU386","OTU376","OTU943","OTU179","OTU7","OTU312","OTU481","OTU737","OTU20","OTU320","OTU774","OTU626","OTU434","OTU605","OTU456","OTU863","OTU893","OTU70","OTU1236","OTU1090","OTU952","OTU69","OTU37","OTU999","OTU872","OTU810","OTU496","OTU1104","OTU707","OTU1001","OTU1031","OTU795","OTU466","OTU866","OTU427","OTU279","OTU469","OTU792","OTU49","OTU712","OTU1093","OTU460","OTU272","OTU874","OTU375","OTU345","OTU869","OTU797","OTU509"
"29","B0423","NEC1-middle disease",0,0,0,0,0,0,0,0,0,0,0,3,0,0,169,0,0,0,1,0,1,2,0,0,0,0,0,16,0,5,0,0,0,3,0,325,0,0,0,0,548,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,26156,0,0,0,0,0,1,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,24,4,0,85,1,0,1,0,0,1,0,3,0,8,0,0,61,0,0,0,1,0,0,0,5,0,0,0,0,0,0,15,0,6,1,0,0,0,0,0,0,0,0,1,105,47,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,1,25,0,0,1,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,14,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,11,0,0,7,0,2,0,0,10,0,0,0,0,92,11,0,0,0,1,0,0,17,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,5,0,0,0,3,16,0,6,0,0,0,7,0,5,0,0,4,2,0,0,7,0,0,0,0,0,0,2,0,0,1
"30","B0425","NEC1-middle disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,1,0,1,0,0,1,1,1,0,0,0,0,11,0,6,0,0,1,0,0,2529,0,0,0,0,43,0,0,0,1,0,11,0,0,0,0,0,0,4,0,0,12,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,37,1,0,0,1,10,0,0,3,0,0,0,0,0,0,0,0,0,23150,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,2,1,8,1,0,13,0,0,0,0,4,0,1,0,0,55,0,0,0,0,0,2,1,10,0,0,0,0,1,3,14,0,12,1,2,1,0,0,1,0,0,1,0,122,45,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,4,1,0,0,0,2,0,0,3,0,1,24,0,0,1,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,1,0,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,9,4,0,13,0,2,0,0,18,0,0,1,0,109,17,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,2,2,1,0,1,0,10,0,0,0,1,0,2,1,0,0,3,19,0,2,0,0,0,13,0,3,0,1269,3,1,0,0,10,0,1,1,0,0,0,2,0,0,0
"31","B0428","NEC1-middle disease",0,0,0,0,0,1,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,447,0,0,0,0,584,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25970,0,1,0,0,0,548,0,0,0,0,0,0,1,0,14,0,0,1,0,0,0,0,6,2,0,143,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,6,0,6,0,117,3,1,1,0,2,0,0,6,0,0,0,0,0,0,0
"32","B0430","NEC1-late disease",0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9751,0,2,0,0,0,151,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,16226,5,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,66,93,0,0,0,1,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,66,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"33","B0431","NEC1-late disease",0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,6,0,0,0,0,0,0,2,0,10082,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,103,0,91,98,1,0,0,0,0,664,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,0,0,0,0,0,0,0,0,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"34","B0436","NEC1-late disease",0,0,1,0,0,1,0,0,0,0,3,3,0,2,448,0,1,0,0,2,0,4,0,0,0,1,1,33,0,16,0,0,0,0,2,320,0,0,0,0,11,0,0,0,0,0,40,0,1,0,0,0,0,1,0,0,40,0,0,0,0,14,1,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,4,34,2,0,3,0,0,0,0,0,0,0,0,2,6964,0,0,0,0,0,18,6,0,0,0,5,2,0,0,0,0,0,0,0,2,0,15,118,2,0,1,3,0,3,0,6,0,0,17,0,5,0,0,156,0,0,0,2,0,17,0,17,1,0,2,0,0,3,35,0,28,9,2,0,0,0,10,0,0,1,0,350,11,1,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,5,0,0,0,2,0,0,1,4,1,53,0,2,0,0,0,0,0,1759,9,1,0,4,2,0,0,0,0,0,0,0,3,0,77,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,14,0,0,9,0,4,0,1,39,0,0,2,0,312,37,0,0,0,3,0,0,15556,0,2,0,0,0,0,0,0,1,2,0,1,5,0,3,0,0,0,0,0,2,0,0,0,1,53,0,18,0,0,1,26,0,18,0,1014,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","B0442","NEC1-post disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,1,0,41,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,13017,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,18,0,0,0,0,0,6,0,3,0,0,9,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,28,21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,4,0,1445,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,21,2,0,0,0,0,0,0,13009,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,0,3,0,2,0,172,3,0,0,0,0,0,0,0,0,0,0,1,5,0,0
"36","B0450","NEC1-post disease",0,0,41,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1373,0,0,0,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1161,0,13,0,0,20,765,0,0,0,0,0,0,0,0,11,0,0,3,2,0,0,2000,0,0,0,439,1,0,0,0,0,0,0,1,0,0,0,0,4,49,0,0,0,0,6,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,672,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1,0,10,0,1931,0,10,40,0,0,0,0,0,105,0,0,0,0,0,2,3,0,0,0,0,0,0,37,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,1,0,16,1,0,5,0,0,0,0,0,0,0,16966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,2,1,14,0,0,0,1,0,0,1,0,1,0,23,0,0,1,0,0,0,0,2,0,1
"37","B0457","NEC1-post disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,0,0,0,0,15,0,3980,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,152,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4837,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,17,0,1386,0,67,1,0,0,0,0,0,9,1853,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2215,0,2,0,1,0,0,0,0,0,12699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,0,0,0,28,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"38","B0461","NEC1-post disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,42,0,490,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,79,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1924,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,7,0,618,0,12,1,0,0,0,0,0,4,770,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17530,0,0,0,12,0,0,0,0,0,5601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,156,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
"39","B0501","control2-early post partum",11,0,0,4,45,118,1,8,15,9,0,83,0,4,10328,0,0,10,0,16,0,0,6,0,1,10,0,0,4,119,0,1,67,0,0,2,0,0,11,9,10,0,0,1,0,0,1179,0,5,0,5,0,0,0,9,1,715,6,0,0,2,282,34,130,1,0,10,69,18,38,0,4,0,0,4,0,11,7,3,0,55,87,1,3,2,0,1,9,0,76,0,12,4,3,1,0,3,0,1,8,0,0,0,0,0,0,211,0,4,0,4,170,3,3,0,6,2,0,0,0,63,1,541,91,138,1,249,16,0,2,1,3,0,68,3,3,0,7,1330,0,0,0,0,0,2,60,2,0,0,0,15,0,32,3,5,3,1,209,97,6,0,13,5,4,0,4,4,20,9,2,0,0,0,6,1,0,74,0,0,31,0,3,0,0,0,43,36,0,0,0,0,0,15,0,3,4,0,2,0,20,10,307,172,46,4,1,0,0,0,55,79,118,2,0,8,0,0,0,0,0,0,276,0,0,8,0,0,0,5,0,0,2,6,0,0,9,2257,0,0,0,0,6,1,2,11,0,0,0,0,1,1,3,0,38,11,317,0,6,70,3,0,6,2,2008,4,0,0,91,5,568,0,0,0,150,9,0,65,2,71,53,3,0,3,6,1,0,0,10,0,0,0,0,0,1,0,2,0,0,12,1,0,615,606,36,210,0,0,15,752,0,875,0,0,603,12,0,8,0,0,0,0,1,1,3,0,0,3,0
"40","B0508","control2-early pre-onset",7,0,2,3,19,95,0,4,6,7,0,74,0,12,7409,1,0,0,0,6,1,0,7,0,1,5,0,1,5,71,0,0,55,0,0,6464,2,0,6,7,9,0,1,1,5,0,940,0,1,1,1,0,0,0,8,0,571,10,0,0,1,235,17,99,0,0,6,45,15,21,2,5,0,0,1,0,7,8,2,0,59,58,1,4,0,0,0,12,0,40,0,6,0,2,1,0,16,0,0,11,0,0,0,0,1,0,167,0,7,3,1,140,3,2,0,9,1,0,0,2,55,0,881,71,59,0,151,9,0,2,4,4,2,34,7,2,0,5,938,0,2,0,0,0,2,68,0,1,0,0,28,1,40,2,3,0,4,184,59,57,0,12,1,3,2,4,5,2,5,14,0,1,0,5,0,2,69,0,0,16,0,6,0,0,0,27,22,0,4,0,0,0,8,0,7,4,0,5,0,9,14,226,133,43,2,2,0,0,0,59,37,85,5,0,18,0,0,0,0,0,1,213,0,0,0,0,0,0,1,0,0,16,0,0,0,5,1667,0,0,0,0,5,2,1,3,0,0,0,0,0,3,2,0,15,15,251,8,6,43,4,9,1,4,1415,1,0,0,61,0,596,0,0,0,132,5,0,24,4,67,32,0,0,3,5,1,5,0,10,0,0,0,10,0,0,0,0,0,0,7,1,0,447,503,29,148,0,5,2,643,0,659,0,0,523,6,0,8,0,0,0,0,0,1,3,0,0,3,0
"41","B0514","control2-late pre-onset",1,0,0,1,28,52,0,8,11,1,0,91,0,15,8431,2,0,0,0,8,0,0,6,0,1,11,0,1,2,102,0,2,54,0,0,4987,0,0,11,8,32,0,4,1,2,0,910,0,8,2,1,0,0,0,2,0,596,5,0,1,3,240,20,93,6,1,8,66,10,25,0,1,0,0,2,0,3,1,0,0,17,25,1,0,2,0,0,3,0,13,0,5,9,2,0,0,4,0,0,3,0,0,0,0,0,0,153,0,4,2,1,145,3,3,0,31,3,0,0,1,66,0,1515,56,128,4,112,21,0,1,1,0,0,45,5,7,0,6,1028,0,0,0,0,0,0,14,5,1,0,0,37,2,33,2,5,0,0,42,70,14,0,15,2,0,0,4,6,4,3,3,0,1,0,5,0,2,54,0,0,19,0,7,0,0,0,6,24,0,0,0,0,0,7,0,4,2,1,0,0,12,9,244,90,12,1,1,0,0,0,35,80,93,8,0,5,0,0,0,0,0,3,236,0,0,8,1,0,2,1,0,0,2,0,0,0,4,1765,1,0,1,0,12,0,0,26,0,1,0,0,1,2,0,0,44,13,252,48,0,12,3,2,0,3,1284,5,0,0,46,1,691,0,3,0,158,2,0,29,2,62,31,3,0,0,5,2,1,0,3,0,0,0,6,1,1,0,0,0,0,7,0,0,508,554,7,137,0,2,5,641,0,642,0,0,387,15,0,11,0,0,0,0,0,3,5,0,0,5,0
"42","B0521","control2-early disease",0,0,0,0,0,3,0,0,3,1,0,7,0,2,225,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,3,0,0,120,0,0,0,0,2,0,0,2,0,0,39,0,0,0,1,0,0,0,0,0,18,0,0,0,0,11,1,3,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,3,0,45,4,4,0,11,0,0,0,0,0,0,2,0,0,0,0,39,0,0,0,0,0,12,1,0,0,0,0,0,0,3,0,0,0,0,5,1,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2041,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,11,0,0,1,0,0,0,0,42,0,0,0,2,0,25,0,0,0,7,0,0,25027,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,14,2,4,0,0,3,24,0,18,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","B0603","NEC2-early post partum",0,0,1,0,3,26,0,3,1,0,0,35,0,14,5362,0,0,0,0,13,2,35,2,0,1,5,1,249,4,123,0,0,30,0,2,15,0,0,0,1,11,0,0,1,0,0,287,0,1,2,0,0,1,0,0,2,239,0,1,0,0,225,4,9,0,36,4,37,9,2,12,2,0,1,1,0,0,1,0,0,0,1031,6,0,1,6,326,13,0,62,0,3,0,0,4,2,1,0,0,218,0,0,0,1,0,0,55,2,0,0,1,20,0,2,0,4,0,0,0,1,6,9,1093,25,64,0,35,14,0,0,2,0,0,172,1,18,4,0,1641,0,3,0,14,0,1,29,198,0,0,0,6,0,17,301,2,234,1,11,4,11,0,4,2,10,6,3,3071,10,8,10,0,1,0,2,1,1,55,4,0,1,0,0,15,1,0,1,8,0,0,0,0,0,2,0,0,0,1,8,0,6,11,80,9,1,1,1,1,0,0,17,38,18,881,0,46,0,0,0,0,0,277,58,0,0,5,0,0,0,1,0,12,0,0,19,2,810,463,0,10,0,0,0,1,3,0,4,1,0,0,0,0,13,0,0,12,226,1,1,371,1,0,0,0,302,0,0,135,0,3192,361,0,1,0,39,6,0,3237,0,21,10,0,0,0,0,1,0,6,2,0,72,0,0,1,1,0,5,0,23,3,3,0,56,644,6,158,0,0,2,242,1,123,0,0,143,14,0,14,0,0,9,0,2,1,0,0,25,16,0
"45","B0604","NEC2-early pre-onset",0,534,0,0,6,30,0,2,6,2,0,28,0,8,9953,4,2,0,0,26,0,7,2,0,4,2,0,31,3,169,0,6,91,0,0,0,3,4,0,2,19,0,7,0,0,2,461,0,0,145,1,0,0,0,0,0,349,0,2,0,8,296,13,46,0,0,0,201,26,7,0,4,0,0,1,0,0,90,8,0,0,719,3,3,1,0,50,21,0,78,0,0,0,1,0,26,1,0,25,3,0,0,0,4,0,0,149,0,3,0,3,31,0,0,0,24,1,0,0,0,23,0,2552,64,61,1,46,9,0,0,0,9,1,167,9,65,0,1,1536,0,2,0,0,0,36,30,12,5,7,0,0,0,49,41,4,6,8,12,48,17,0,24,1,10,2,4,88,79,17,3,0,0,0,16,0,3,25,4,0,0,0,0,2,0,5,2,5,0,4,0,0,1,3,0,6,0,0,6,0,133,3,164,8,2,3,0,4,12,0,30,60,41,128,0,60,0,0,0,0,0,0,207,0,0,47,45,0,3,4,0,0,11,2,22,0,172,651,6,0,3,66,0,1,0,0,0,8,0,0,0,0,28,0,0,12,239,1,0,314,0,22,2,0,560,0,0,0,1,166,508,0,59,26,101,6,1899,33,0,42,12,1,27,2,0,5,0,0,1,0,677,1,0,0,1,0,4,0,17,0,7,0,109,1020,5,329,0,0,9,278,0,219,0,0,257,9,0,4,0,0,1,0,184,3,4,0,0,5,0
"46","B0605","NEC2-early pre-onset",1,0,0,0,4,34,0,1,6,1,1,33,0,14,5516,4,0,0,0,18,2,31,4,0,0,4,1,359,1,183,0,1,29,1,0,6,0,0,0,2,16,0,3,0,0,0,372,0,4,0,1,0,1,0,0,0,349,2,1,0,6,231,7,12,0,1,5,34,24,0,14,7,0,1,3,0,0,0,0,0,0,1107,4,1,2,5,376,39,0,71,0,1,1,0,5,1,0,0,0,49,0,0,1,0,0,0,52,0,3,0,0,15,1,2,0,4,0,0,0,2,9,3,1358,61,42,1,51,12,2,0,1,1,4,226,7,41,3,0,1739,0,2,0,9,1,5,50,255,2,0,0,0,0,10,356,1,352,2,17,6,6,8,8,3,9,12,12,3721,11,8,10,0,3,0,3,1,2,77,1,1,0,0,0,10,0,1,7,9,0,0,0,0,6,0,0,1,1,1,8,0,9,10,76,17,3,1,3,0,0,0,24,31,30,762,0,28,0,0,0,0,0,22,52,0,0,8,0,1,4,5,2,3,1,0,18,3,858,568,0,9,0,1,1,0,2,2,1,0,0,0,1,1,21,0,0,15,339,1,3,462,2,2,0,0,373,1,0,12,1,3893,532,0,0,0,72,18,0,157,1,18,10,0,0,0,0,0,0,7,0,2,66,0,0,1,1,0,2,0,56,0,6,0,69,668,3,191,0,0,3,339,0,192,0,0,186,14,0,14,0,0,9,0,0,1,0,0,4,8,0
"47","B0607","NEC2-early pre-onset",1,0,0,0,1,33,0,1,4,0,0,35,0,6,5385,2,5,0,0,14,4,27,0,0,0,4,0,323,2,185,0,0,24,8,3,3,1,0,0,2,43,0,2,1,0,0,402,0,1,0,2,0,8,0,1,1,423,0,0,0,1,196,9,12,0,1,11,44,23,4,13,1,0,1,4,0,0,1,0,0,0,1200,1,0,2,12,374,32,0,82,0,6,0,0,4,3,0,0,1,21,0,0,0,1,1,1,64,1,6,0,2,27,1,0,0,2,0,0,0,2,21,6,1290,57,28,3,55,17,5,0,1,3,1,183,6,70,4,0,1828,0,4,0,16,2,3,34,241,2,0,0,3,0,20,353,0,363,2,8,13,2,3,18,2,9,6,11,3736,25,9,8,0,1,0,5,0,1,48,4,1,0,0,1,3,0,0,4,3,0,0,0,0,1,1,0,2,0,0,9,0,5,5,103,34,5,1,2,1,0,0,25,19,35,710,0,31,0,0,0,0,0,16,36,0,0,23,0,1,4,3,0,1,0,0,10,0,932,566,1,17,0,1,0,1,5,2,1,2,0,0,0,1,27,0,0,18,349,0,1,478,0,1,0,0,318,1,0,18,1,3787,523,0,0,0,81,4,0,160,1,24,12,0,0,0,0,0,0,9,0,2,155,0,0,1,8,0,4,0,67,1,3,0,55,606,7,197,0,0,2,340,2,198,0,0,197,16,0,11,0,0,5,0,0,4,0,0,2,20,0
